,title,price,mpg,rating
249,2020 Honda Clarity Fuel Cell,"$59,445",68 MPGe,4.7 / 5
250,2020 Honda Clarity Plug-in Hybrid,"$34,355",42 MPG,4.7 / 5
251,2020 Honda Civic,"$22,005",33 MPG,4.6 / 5
252,2021 Honda Civic,"$22,955",34 MPG,4.6 / 5
253,2020 Honda Civic Type R,"$37,950",25 MPG,4.7 / 5
254,2020 Honda Fit,"$17,145",31 MPG,4.6 / 5
255,2021 Genesis G70,"$37,025",25 MPG,4.6 / 5
256,2021 Genesis G80,"$48,725",26 MPG,4.6 / 5
257,2021 Genesis G90,"$73,975",19 MPG,
258,2021 Genesis GV80,"$49,925",23 MPG,4.7 / 5
259,2021 Genesis G70,"$37,025",25 MPG,4.6 / 5
260,2021 Genesis G80,"$48,725",26 MPG,4.6 / 5
261,2021 Genesis G90,"$73,975",19 MPG,
262,2021 Genesis GV80,"$49,925",23 MPG,4.7 / 5
263,2019 Ford Fiesta,"$15,235",30 MPG,4.2 / 5
264,2020 Ford Fusion,"$24,365",24 MPG,4.1 / 5
265,2019 Ford Fusion Energi,"$35,490",42 MPG,4.1 / 5
266,2020 Ford Fusion Plug-in Hybrid,"$36,195",42 MPG,4.1 / 5
267,2019 Ford Taurus,"$28,895",21 MPG,3.1 / 5
268,2021 Ford Bronco Sport,"$28,155",26 MPG,
269,2020 Ford EcoSport,"$21,090",28 MPG,3.9 / 5
270,2020 Ford Edge,"$32,345",24 MPG,3.8 / 5
271,2020 Ford Escape,"$26,080",30 MPG,4.3 / 5
272,2021 Ford Explorer,"$33,470",24 MPG,4.1 / 5
273,2019 Ford Flex,"$31,670",19 MPG,3.7 / 5
274,2020 Ford Escape,"$29,450",41 MPG,4.3 / 5
275,2021 Ford Explorer,"$51,100",27 MPG,4.1 / 5
276,2020 Ford Fusion,"$29,195",42 MPG,4.1 / 5
277,2019 Ford Fusion Energi,"$35,490",42 MPG,4.1 / 5
278,2020 Ford Fusion Plug-in Hybrid,"$36,195",42 MPG,4.1 / 5
279,2019 Ford Fusion Energi,"$35,490",42 MPG,4.1 / 5
280,2020 Ford Fusion Plug-in Hybrid,"$36,195",42 MPG,4.1 / 5
281,2020 Ford Mustang,"$27,765",24 MPG,4.6 / 5
282,2019 Ford Fiesta,"$16,765",30 MPG,4.2 / 5
283,2020 Ford Mustang,"$33,265",23 MPG,4.6 / 5
284,2019 Ford Fiesta,"$15,235",30 MPG,4.2 / 5
285,2020 Ford Fusion,"$24,365",24 MPG,4.1 / 5
286,2019 Ford Fusion Energi,"$35,490",42 MPG,4.1 / 5
287,2020 Ford Fusion Plug-in Hybrid,"$36,195",42 MPG,4.1 / 5
288,2019 Ford Taurus,"$28,895",21 MPG,3.1 / 5
289,2021 Ford Bronco Sport,"$28,155",26 MPG,
